id,slug,name,brand,years,generation_code,category,vehicle_type,tier,country,engine,hp,torque,trans,drivetrain,layout,curb_weight,seats,manual_available,zero_to_sixty,quarter_mile,top_speed,braking_60_0,lateral_g,price_range,price_avg,msrp_new_low,msrp_new_high,score_sound,score_interior,score_track,score_reliability,score_value,score_driver_fun,score_aftermarket,daily_usability_tag,maintenance_cost_index,insurance_cost_index,fuel_economy_combined,platform_cost_tier,parts_availability,diy_friendliness,has_tagline,has_highlight,has_hero_blurb,has_essence,has_heritage,has_engine_character,has_buyers_summary,pros_count,cons_count,common_issues_count,competitors_count,has_hero_image,tuning_engine_family,tuning_stock_whp,tuning_stock_wtq,tuning_data_quality,tuning_verified,tuning_stages_count,expected_whp,whp_diff
9d256457-763f-43aa-910c-e4f83c78ed34,aston-martin-db11-db11,Aston Martin DB11,Aston Martin,2016-2024,DB11,Front-Engine,Sports Car,premium,United Kingdom,4.0L Twin-Turbo V8 / 5.2L Twin-Turbo V12,630,516,8AT,RWD,,3968,4,false,3.5,11.40,208,,,"$205,000 - $241,000",223000,205600,241000,9.0,8.0,7.0,6.0,6.0,8.0,5.0,Grand Tourer,,,,,moderate,low,Y,Y,Y,Y,Y,Y,Y,5,4,0,3,Y,,,439,researched,false,0,536,
58721086-9fd5-48cf-bf59-e61b4a162684,aston-martin-db9-first-generation,Aston Martin DB9,Aston Martin,2004-2016,DB9,Front-Engine,Sports Car,premium,United Kingdom,6.0L Naturally Aspirated V12,470,443,6AT,RWD,,3968,4,true,4.6,13.10,190,,,"$180,000 - $220,000",200000,184000,220000,9.0,8.0,6.0,5.0,6.0,8.0,6.0,Grand Tourer,,,,,moderate,low,Y,Y,Y,Y,Y,Y,Y,5,4,0,3,Y,,,377,researched,false,0,400,
b265a27f-7d5b-432e-b9f5-ec6cfee307ca,aston-martin-dbs-superleggera-2018,Aston Martin DBS Superleggera,Aston Martin,2018-2024,AML,Front-Engine,Sports Car,premium,United Kingdom,5.2L Twin-Turbo V12,715,664,8AT,RWD,,3968,4,false,3.4,11.10,211,,,"$316,300 - $370,000",343150,316300,370000,9.0,8.0,8.0,6.0,6.0,9.0,6.0,Grand Tourer,,,,,moderate,low,Y,Y,Y,Y,Y,Y,Y,5,4,0,3,Y,,,564,researched,false,0,608,
5c562a54-15cb-472b-a981-0449bb1d94ac,aston-martin-v12-vantage-1st-gen,Aston Martin V12 Vantage,Aston Martin,2009-2018,VH,Front-Engine,Sports Car,premium,United Kingdom,6.0L Naturally Aspirated V12,565,457,6MT,RWD,,3835,2,true,4.1,12.30,205,,,"$180,000 - $220,000",200000,180000,220000,10.0,7.0,8.0,5.0,8.0,9.0,6.0,Weekend Only,,,,,moderate,low,Y,Y,Y,Y,Y,Y,Y,5,4,0,2,Y,,,388,researched,false,0,480,
2700aca3-b46b-4bc4-ba54-2f62b1c4787e,aston-martin-v8-vantage,Aston Martin V8 Vantage,Aston Martin,2008-2017,VH,Front-Engine,Sports Car,mid,United Kingdom,4.7L V8,420,346,6MT/7AT,RWD,,3570,,true,4.7,13.00,180,107,0.96,$48-65K,56500,,,8.3,7.5,6.3,3.5,4.3,7.2,4.5,,,,16.0,,,,Y,Y,N,Y,Y,Y,Y,4,3,0,0,Y,,,294,enriched,false,0,357,
f62304a7-74eb-4e5f-af5d-fa7e77ba44d0,aston-martin-vantage-2018-2024,Aston Martin Vantage,Aston Martin,2018-2024,AM7,Front-Engine,Sports Car,premium,United Kingdom,4.0L Twin-Turbo V8,503,505,8AT,RWD,,3704,2,false,3.5,11.80,195,,,"$139,000 - $185,000",162000,139000,185000,8.0,7.0,8.0,6.0,7.0,9.0,6.0,Grand Tourer,,,,,moderate,low,Y,Y,Y,Y,Y,Y,Y,5,4,0,2,Y,,,429,researched,false,0,428,
c3b8a63a-24fb-42cf-90d6-77e06601b86f,audi-a3-1-8-tfsi-8v,Audi A3 1.8 TFSI (8V),Audi,2014-2020,8V,Front-Engine,Sports Sedan,mid,Germany,1.8L Turbocharged I4,170,200,6MT/7DCT,FWD,,3120,5,true,7.3,15.40,130,,,"$30,900 - $38,000",34450,30900,38000,6.0,8.0,6.0,5.0,8.0,7.0,9.0,Daily Capable,,,,,excellent,moderate,Y,Y,Y,Y,Y,Y,Y,5,4,0,3,Y,,,,skeleton,false,0,145,
1eaccc6f-a9ee-4698-87c7-83db53c411f2,audi-a4-b8,Audi A4 2.0T B8,Audi,2009-2012,B8,Front-Engine,Sports Sedan,mid,Germany,2.0L Turbocharged I4,211,258,6MT/CVT/8AT,FWD,,3638,5,true,6.2,14.70,130,,,"$32,000 - $45,000",38500,32500,45000,7.0,8.0,7.0,5.0,8.0,7.0,9.0,Daily Capable,,,,,excellent,moderate,Y,Y,Y,Y,Y,Y,Y,5,4,0,3,Y,,,,skeleton,false,0,179,
73487d92-8000-474b-b1e7-5f584e79ca73,audi-a4-b8-5,Audi A4 2.0T B8.5,Audi,2013-2016,B8.5,Front-Engine,Sports Sedan,mid,Germany,2.0L Turbocharged I4,220,258,CVT/8AT/6MT,FWD,,3638,5,true,6.3,14.80,130,,,"$33,395 - $45,000",39198,33395,45000,6.0,8.0,6.0,5.0,8.0,7.0,9.0,Daily Capable,,,,,good,moderate,Y,Y,Y,Y,Y,Y,Y,5,4,0,2,Y,,,,skeleton,false,0,187,
3315922e-1a54-4a66-88c6-f28df57430d7,audi-r8-v10,Audi R8 V10,Audi,2010-2015,Typ 42,Mid-Engine,Sports Car,premium,Germany,5.2L V10,525,398,6MT/S-Tronic,AWD,,3660,2,true,3.4,11.50,196,98,1.06,"$85,000 - $145,000",110000,,,9.5,8.8,8.6,7.6,5.0,8.7,6.0,Capable daily,5,5,14.0,premium,good,3,Y,Y,N,Y,Y,Y,Y,4,2,4,3,Y,,,,skeleton,false,0,446,
eb5d95b8-8205-466b-9cd7-3712e7e72636,audi-r8-v8,Audi R8 V8,Audi,2008-2015,Typ 42,Mid-Engine,Sports Car,premium,Germany,4.2L V8,430,317,6MT/R-Tronic,AWD,,3594,2,true,4.1,12.40,187,103,1.01,$65-85K,75000,,,8.6,8.7,7.7,7.6,7.8,8.2,6.0,Capable daily,5,5,15.0,premium,good,4,Y,Y,N,Y,Y,Y,Y,4,2,4,3,Y,,,,skeleton,false,0,366,
86b2c31a-e71d-4afa-9211-a4b67de68ff8,audi-rs3-8v,Audi RS3 8V,Audi,2017-2020,8V,Front-Engine,Sports Sedan,mid,Germany,2.5L Turbo I5,394,354,7DCT,AWD,,3450,,false,3.9,12.10,155,104,0.98,$42-58K,50000,,,9.0,7.2,7.4,7.2,7.4,7.9,8.1,,,,25.0,,,,Y,Y,N,Y,Y,Y,Y,4,3,0,0,Y,2.5L TFSI 5-Cylinder,340,360,researched,false,3,335,5
0b918cbe-0df3-4e5b-9797-9af887eeba35,audi-rs3-8y,Audi RS3 8Y,Audi,2022-2024,8Y,Front-Engine,Sports Sedan,upper-mid,Germany,2.5L Turbo I5,401,369,7DCT,AWD,,3516,,false,3.6,11.90,155,100,1.02,$58-75K,65000,,,9.0,8.1,8.0,7.8,5.8,7.9,7.2,,,,24.0,,,,Y,Y,N,Y,Y,Y,Y,4,3,0,0,Y,2.5L TFSI 5-Cylinder,340,360,researched,false,3,341,1
6b78e024-a201-40fc-83c6-7340591da3fc,audi-rs5-b8,Audi RS5 B8,Audi,2013-2015,B8,Front-Engine,Sports Car,mid,Germany,4.2L NA V8,450,317,7DCT,AWD,,4045,,true,4.5,12.80,155,102,0.98,$38-55K,45000,,,9.0,7.9,7.0,7.2,7.5,7.1,6.4,,,,18.0,,,,Y,Y,N,Y,Y,Y,Y,4,3,0,0,Y,,,,skeleton,false,0,383,
7ecde939-eb56-4d6c-91c5-10bc466624a3,audi-rs5-b9,Audi RS5 B9,Audi,2018-2024,B9/F5,Front-Engine,Sports Car,upper-mid,Germany,2.9L TT V6,444,443,8AT,AWD,,3990,4,false,3.7,12.10,155,100,1.00,$55-80K,65000,74900,82900,5.9,9.1,7.5,7.8,7.4,7.0,6.3,great-daily,,,21.0,,excellent,moderate,Y,Y,N,Y,Y,Y,Y,4,3,0,4,Y,2.9L TFSI Twin-Turbo V6,377,377,researched,false,4,377,0
1d353280-e967-4cba-a5bc-0229b07f9fcd,audi-rs6-avant-c8,Audi RS6 Avant C8,Audi,2020-2024,C8,Front-Engine,Wagon,premium,Germany,4.0L Twin-Turbo V8,591,590,8AT,AWD,,4585,5,false,3.6,11.80,155,,,"$110,000 - $130,000",120000,109000,130000,8.0,9.0,7.0,6.0,6.0,8.0,7.0,Daily Capable,,,,,good,low,Y,Y,Y,Y,Y,Y,Y,5,4,0,2,Y,,,,skeleton,false,0,502,
abf21033-cd3e-470d-9aee-afa23568a11d,audi-rs7-c8,Audi RS7 Sportback,Audi,2020-present,C8,Front-Engine,Sports Sedan,premium,Germany,4.0L Twin-Turbo V8,591,590,8AT,AWD,,4586,4,false,3.5,11.70,190,,,"$115,000 - $140,000",127500,115595,140000,7.0,9.0,8.0,6.0,6.0,8.0,7.0,Grand Tourer,,,,,good,low,Y,Y,Y,Y,Y,Y,Y,5,4,0,3,Y,,,,skeleton,false,0,502,
02c00db0-8a29-4759-8080-ebfa75c76d29,audi-s4-b5,Audi S4 B5,Audi,1997-2002,B5,Front-Engine,Sports Sedan,mid,Germany,2.7L Twin-Turbo V6,265,295,6MT/5AT,AWD,,3660,5,true,5.6,14.10,155,,,"$45,000 - $55,000",50000,45000,55000,8.0,7.0,8.0,5.0,8.0,8.0,9.0,Daily Capable,,,,,good,moderate,Y,Y,Y,Y,Y,Y,Y,5,4,0,2,Y,,,,skeleton,false,0,225,
5bf416e9-b1a9-4eb7-a157-beabe80c58a0,audi-s4-b6,Audi S4 B6,Audi,2004-2005,B6,Front-Engine,Sports Sedan,mid,Germany,4.2L V8,344,302,6MT,AWD,,3748,5,true,5.6,13.90,155,,,"$48,000 - $52,000",50000,48000,52000,8.0,7.0,8.0,5.0,8.0,9.0,9.0,Daily Capable,,,,,good,moderate,Y,Y,Y,Y,Y,Y,Y,5,4,0,2,Y,,,,skeleton,false,0,292,
6139dc0d-1b5a-482a-aa2e-fea003cece8e,audi-s4-b7,Audi S4 B7,Audi,2005-2008,B7,Front-Engine,Sports Sedan,mid,Germany,4.2L Naturally Aspirated V8,344,302,6MT/6AT,AWD,,3968,5,true,5.1,13.60,155,,,"$15,000 - $35,000",25000,49900,58900,8.0,7.0,6.0,4.0,8.0,8.0,9.0,Daily Capable,,,,,good,moderate,Y,Y,Y,Y,Y,Y,Y,5,4,0,2,Y,,,,skeleton,false,0,292,
db659bef-b3b7-489d-b726-441b810439f4,audi-s4-b8,Audi S4 B8,Audi,2010-2016,B8,Front-Engine,Sports Sedan,mid,Germany,3.0L Supercharged V6,333,325,7DCT,AWD,,4078,5,true,4.9,13.40,155,,,"$47,000 - $52,000",49500,47000,52000,7.0,8.0,7.0,5.0,8.0,8.0,9.0,Daily Capable,,,,,good,moderate,Y,Y,Y,Y,Y,Y,Y,5,4,0,3,Y,,,,skeleton,false,0,283,
bfce5bb9-0af1-46d9-899a-e5ca4d4edecc,audi-s4-b9,Audi S4 B9,Audi,2017-2024,B9,Front-Engine,Sports Sedan,mid,Germany,3.0L Turbocharged V6 TFSI,354,369,8AT,AWD,,3968,5,false,4.4,12.80,155,,,"$57,000 - $65,000",61000,57100,64900,7.0,8.0,7.0,5.0,7.0,8.0,9.0,Daily Capable,,,,,good,moderate,Y,Y,Y,Y,Y,Y,Y,5,4,0,3,Y,,,,skeleton,false,0,301,
ec853d82-e647-4e4b-8d55-3ff852c04eae,audi-s5-b8,Audi S5 B8,Audi,2008-2016,B8,Front-Engine,Sports Car,mid,Germany,3.0L Supercharged V6,333,325,7DCT,AWD,,4034,4,true,4.9,13.30,155,,,"$52,200 - $65,000",58600,52200,65000,8.0,7.0,7.0,5.0,8.0,8.0,9.0,Daily Capable,,,,,good,moderate,Y,Y,Y,Y,Y,Y,Y,5,4,0,2,Y,,,,skeleton,false,0,283,
098a3aa1-19aa-4087-acbf-a99659ccd6de,audi-s5-b9,Audi S5 B9,Audi,2017-2024,B9,Front-Engine,Sports Car,mid,Germany,3.0L Turbocharged V6,354,369,8AT,AWD,,3957,4,false,4.4,12.80,155,,,"$55,000 - $75,000",65000,55300,74900,8.0,8.0,7.0,6.0,7.0,8.0,9.0,Daily Capable,,,,,excellent,moderate,Y,Y,Y,Y,Y,Y,Y,5,4,0,3,Y,,,,skeleton,false,0,301,
b3595462-36a0-4a0c-b18f-44530e598bb0,audi-tt-rs-8j,Audi TT RS 8J,Audi,2012-2013,8J,Front-Engine,Sports Car,mid,Germany,2.5L Turbo I5,360,343,6MT/7DCT,AWD,,3306,,true,4.1,12.50,155,105,0.97,$35-50K,42000,,,9.0,6.1,7.4,7.2,7.3,8.0,7.6,,,,21.0,,,,Y,Y,N,Y,Y,Y,Y,4,3,0,0,Y,2.5L TFSI 5-Cylinder,340,360,researched,false,3,306,34
b14692d3-6de3-4f56-8070-db975bc379de,audi-tt-rs-8s,Audi TT RS 8S,Audi,2018-2024,8S,Front-Engine,Sports Car,upper-mid,Germany,2.5L Turbo I5,394,354,7DCT,AWD,,3307,,false,3.6,12.00,155,102,1.00,$50-70K,58000,,,9.0,8.1,8.0,7.8,5.8,7.9,7.5,,,,22.0,,,,Y,Y,N,Y,Y,Y,Y,4,3,0,0,Y,2.5L TFSI 5-Cylinder,340,360,enriched,false,3,335,5
738c6915-e5ee-468f-8a79-64fef488acc1,bmw-1m-coupe-e82,BMW 1 Series M Coupe,BMW,2011,E82,Front-Engine,Sports Car,upper-mid,Germany,3.0L TT I6 N54,335,332,6MT,RWD,,3362,,true,4.7,13.00,155,103,0.98,$55-80K,65000,,,7.2,6.3,8.2,6.8,3.5,9.4,8.2,,,,19.0,,,,Y,Y,N,Y,Y,Y,Y,4,3,0,0,Y,,,,skeleton,false,0,285,
e482f31a-fc3d-4647-a242-10ad5a2da59b,bmw-135i-e82,BMW 135i N54,BMW,2008-2010,E82,Front-Engine,Sports Car,mid,Germany,3.0L Twin-Turbo Inline-6 (N54),300,300,6MT/6AT,RWD,,3296,4,true,4.7,13.10,155,,,"$31,300 - $34,700",33000,31300,34700,8.0,7.0,9.0,4.0,8.0,9.0,9.0,Daily Capable,,,,,excellent,moderate,Y,Y,Y,Y,Y,Y,Y,5,4,0,2,Y,,,,skeleton,false,0,255,
09f901dc-76c7-4057-bc7f-720f8e39775d,bmw-335i-e90,BMW 335i E90,BMW,2007-2013,E90,Front-Engine,Sports Sedan,mid,Germany,3.0L Twin-Turbo I6 (N54/N55),300,300,6MT/6AT,RWD,,3450,5,true,5.3,13.80,155,,,"$42,000 - $48,000",45000,42400,48000,7.0,7.0,7.0,5.0,8.0,8.0,9.0,Daily Capable,,,,,excellent,moderate,Y,Y,Y,Y,Y,Y,Y,5,4,0,3,Y,,,,skeleton,false,0,255,
d560de38-3d6b-4645-8d8f-877a454644f3,bmw-340i-f30,BMW 340i F30,BMW,2016-2019,F30,Front-Engine,Sports Sedan,mid,Germany,3.0L Twin-Turbo I6,320,330,8AT,RWD,,3455,5,true,5.1,13.40,155,,,"$45,000 - $55,000",50000,45950,54900,7.0,8.0,7.0,5.0,8.0,8.0,9.0,Daily Capable,,,,,excellent,moderate,Y,Y,Y,Y,Y,Y,Y,5,4,0,3,Y,,,,skeleton,false,0,272,
e98068ee-8b41-41d7-8474-ecafae7ee7ad,bmw-i4-m50-g26,BMW i4 M50,BMW,2022-2024,G26,Front-Engine,Sports Sedan,mid,Germany,Dual Electric Motors,536,586,Single-Speed,AWD,,5018,5,false,3.7,12.00,155,,,"$67,300 - $75,000",71150,67300,75000,6.0,8.0,8.0,7.0,7.0,8.0,5.0,Daily Capable,,,,,good,low,Y,Y,Y,Y,Y,Y,Y,5,4,0,3,Y,,,,skeleton,false,0,456,
53bc4cda-4049-4f08-956c-89ba453dc118,bmw-m2-competition,BMW M2 Competition,BMW,2019-2021,F87,Front-Engine,Sports Car,mid,Germany,3.0L TT I6,405,406,6MT/7DCT,RWD,,3600,,true,4.0,12.30,155,101,1.00,$50-65K,57500,,,6.4,7.5,8.2,6.7,7.4,8.5,8.8,,,,21.0,,,,Y,Y,N,Y,Y,Y,Y,4,3,0,0,Y,,,,skeleton,false,0,344,
6d5bed1d-4205-49fb-8f59-3affaca9a83a,bmw-m2-g87,BMW M2 G87,BMW,2023-2024,G87,Front-Engine,Sports Car,mid,Germany,3.0L Twin-Turbo Inline-6 (S58),453,406,6MT / 8AT,RWD,,3814,4,true,4.1,12.40,177,,,"$63,000 - $70,000",66500,63195,69995,8.0,7.0,9.0,6.0,7.0,9.0,8.0,Daily Capable,,,,,good,moderate,Y,Y,Y,Y,Y,Y,Y,5,4,0,3,Y,,,,skeleton,false,0,385,
e9a8a3c9-e2cd-4385-b1a0-62e5d6a4673b,bmw-m3-e30,BMW M3 E30,BMW,1988-1991,E30,Front-Engine,Sports Sedan,mid,Germany,2.3L Naturally Aspirated I4 (S14),192,170,5MT,RWD,,2866,4,true,6.7,15.10,146,,,"$400,000 - $800,000",600000,46000,50000,8.0,7.0,9.0,6.0,7.0,9.0,8.0,Daily Capable,,,,,good,moderate,Y,Y,Y,Y,Y,Y,Y,5,4,0,3,Y,,,,skeleton,false,0,163,
7951f67c-98ae-49a9-b2c8-4f532e5256bf,bmw-m3-e36,BMW M3 E36,BMW,1995-1999,E36,Front-Engine,Sports Sedan,mid,Germany,3.2L Naturally Aspirated I6,240,236,5MT,RWD,,3219,4,true,5.5,13.90,155,,,"$15,000 - $45,000",28000,36000,42000,8.0,6.0,9.0,5.0,8.0,9.0,9.0,Daily Capable,,,,,excellent,moderate,Y,Y,Y,Y,Y,Y,Y,5,4,0,2,Y,,,,skeleton,false,0,204,
0143284b-712a-4b79-8b6f-65960c14a7d7,bmw-m3-e46,BMW M3 E46,BMW,2001-2006,E46,Front-Engine,Sports Sedan,mid,Germany,3.2L NA I6 S54,333,262,6MT/SMG,RWD,,3415,,true,4.8,13.20,155,104,0.96,$35-65K,48000,,,9.3,6.3,8.7,7.3,3.5,9.4,9.0,,,,18.0,,,,Y,Y,N,Y,Y,Y,Y,4,4,0,0,Y,,,,skeleton,false,0,283,
243e8415-2418-472f-aad8-3d513ed3755e,bmw-m3-e92,BMW M3 E92,BMW,2008-2013,E90/E92/E93,Front-Engine,Sports Car,mid,Germany,4.0L NA V8 S65,414,295,6MT/7DCT,RWD,,3704,4,true,4.1,12.50,155,100,0.99,$32-55K,42000,,,9.5,7.3,8.7,6.5,6.5,9.3,9.0,,,,16.0,,,,Y,Y,N,Y,Y,Y,Y,4,3,0,0,Y,,,,skeleton,false,0,352,
4da0a42f-90d1-40f3-ac5f-7da14437b9bd,bmw-m3-f80,BMW M3 F80,BMW,2015-2018,F80,Front-Engine,Sports Sedan,mid,Germany,3.0L TT I6 S55,425,406,6MT/7DCT,RWD,,3540,,true,3.9,12.00,155,98,1.01,$42-65K,52000,,,5.7,7.5,8.9,7.3,7.3,8.0,8.8,,,,19.0,,,,Y,Y,N,Y,Y,Y,Y,4,3,0,0,Y,S55 Twin-Turbo I6,360,380,researched,false,3,361,1
f233826c-9e5d-48d3-a8c1-74cf2e5e3bfe,bmw-m3-g80,BMW M3 G80,BMW,2021-2024,G80,Front-Engine,Sports Sedan,mid,Germany,3.0L Twin-Turbo I6 (S58),473,406,6MT/8AT,RWD,,3890,5,true,4.1,12.30,155,,,"$72,000 - $85,000",78500,72300,84700,8.0,7.0,9.0,6.0,7.0,9.0,8.0,Daily Capable,,,,,good,moderate,Y,Y,Y,Y,Y,Y,Y,5,4,0,3,Y,,,,skeleton,false,0,402,
ae53844f-897e-4318-96ca-11566f8f09c2,bmw-m340i-g20,BMW M340i G20,BMW,2019-2024,G20,Front-Engine,Sports Sedan,mid,Germany,3.0L Twin-Turbo I6,382,369,8AT,AWD,,3814,5,false,4.2,12.40,155,,,"$55,000 - $65,000",60000,54700,65000,7.0,8.0,8.0,7.0,8.0,8.0,9.0,Daily Capable,,,,,excellent,moderate,Y,Y,Y,Y,Y,Y,Y,5,4,0,3,Y,,,,skeleton,false,0,325,
6d1cbeba-bf82-4209-aa98-e8b55396ce07,bmw-m4-csl-g82,BMW M4 CSL,BMW,2022-2023,G82,Front-Engine,Sports Car,premium,Germany,3.0L Twin-Turbo I6,543,479,8AT,RWD,,3640,2,false,3.6,11.80,191,,,"$140,000 - $160,000",150000,139900,159900,8.0,7.0,10.0,6.0,6.0,9.0,7.0,Track Toy,,,,,good,low,Y,Y,Y,Y,Y,Y,Y,5,4,0,2,Y,,,,skeleton,false,0,462,
e40e492b-d312-47db-a513-7a537db2c624,bmw-m4-f82,BMW M4 F82,BMW,2015-2020,F82,Front-Engine,Sports Car,budget,Germany,3.0L TT I6,425,406,6MT/7DCT,RWD,,3580,,true,3.9,12.20,155,102,0.99,$35-50K,42500,,,5.7,7.5,8.2,6.5,7.2,8.0,8.7,,,,20.0,,,,Y,Y,N,Y,Y,Y,Y,4,3,0,0,Y,,,,skeleton,false,0,361,
bc864470-65ce-434a-8baf-4c929c552d57,bmw-m5-e39,BMW M5 E39,BMW,1999-2003,E39,Front-Engine,Sports Sedan,mid,Germany,4.9L NA V8 S62,394,369,6MT,RWD,,3968,,true,4.8,13.10,155,108,0.93,$35-65K,48000,,,9.0,6.5,6.7,6.0,5.5,9.1,7.8,,,,14.0,,,,Y,Y,N,Y,Y,Y,Y,4,3,0,0,Y,,,,skeleton,false,0,335,
b50c0be8-45ce-4f6b-aaa2-4943e080acca,bmw-m5-e60,BMW M5 E60,BMW,2006-2010,E60/E61,Front-Engine,Sports Sedan,mid,Germany,5.0L NA V10 S85,500,384,6MT/7SMG,RWD,,4055,,true,4.5,12.60,155,102,0.95,$25-45K,32000,,,9.5,7.3,7.2,3.0,7.5,9.1,7.8,,,,13.0,,,,Y,Y,N,Y,Y,Y,Y,4,4,0,0,Y,,,,skeleton,false,0,425,
