Vehicle Name,Brand,Years,Category,Tier,Engine,Horsepower,Torque,Transmission,Drivetrain,0-60 Time,Average Price,Price Range
C7 Corvette Z06,Chevrolet,2015-2019,Front-Engine,mid,6.2L SC V8,650,650,7MT/8AT,RWD,3.2,$60000,$50-70K
C8 Corvette Stingray,Chevrolet,2020-2024,Mid-Engine,upper-mid,6.2L V8,495,470,8DCT,RWD,2.9,$65000,$55-75K
Camaro SS 1LE,Chevrolet,2017-2023,Front-Engine,budget,6.2L V8,455,455,6MT,RWD,4.2,$41500,$35-48K
Camaro ZL1,Chevrolet,2017-2023,Front-Engine,mid,6.2L SC V8,650,650,6MT/10AT,RWD,3.5,$52500,$45-60K
Chevrolet Corvette C5 Z06,Chevrolet,2001-2004,Front-Engine,budget,5.7L NA V8 LS6,405,400,6MT,RWD,4.0,$32000,$25-40K
Chevrolet Corvette C6 Grand Sport,Chevrolet,2010-2013,Front-Engine,mid,6.2L NA V8 LS3,436,428,6MT/6AT,RWD,4.0,$40000,$32-50K
Chevrolet Corvette C6 Z06,Chevrolet,2006-2013,Front-Engine,upper-mid,7.0L NA V8 LS7,505,470,6MT,RWD,3.6,$55000,$45-70K
Dodge Challenger Hellcat,Dodge,2015-2023,Front-Engine,upper-mid,6.2L SC V8,717,656,6MT/8AT,RWD,3.6,$68000,$55-85K
Dodge Challenger SRT 392,Dodge,2011-2023,Front-Engine,mid,6.4L NA V8,485,475,6MT/8AT,RWD,4.2,$45000,$35-55K
Dodge Charger Hellcat,Dodge,2015-2023,Front-Engine,upper-mid,6.2L SC V8,707,650,8AT,RWD,3.7,$65000,$55-80K
Dodge Charger SRT 392,Dodge,2012-2023,Front-Engine,mid,6.4L NA V8,485,475,8AT,RWD,4.3,$42000,$35-55K
Dodge Viper,Dodge,2013-2017,Front-Engine,premium,8.4L V10,645,600,6MT,RWD,3.3,$85000,$70-100K
Ford Focus RS,Ford,2016-2018,Front-Engine,budget,2.3L Turbo I4,350,350,6MT,AWD,4.6,$38000,$32-45K
Ford Mustang Boss 302,Ford,2012-2013,Front-Engine,mid,5.0L NA V8,444,380,6MT,RWD,4.2,$48000,$40-60K
Mustang GT PP2,Ford,2018-2023,Front-Engine,budget,5.0L V8,460,420,6MT/10AT,RWD,4.3,$38500,$32-45K
Shelby GT350,Ford,2016-2020,Front-Engine,mid,5.2L FP V8,526,429,6MT,RWD,4.3,$55000,$45-65K
Shelby GT500,Ford,2020-2022,Front-Engine,upper-mid,5.2L SC V8,760,625,7DCT,RWD,3.3,$75000,$65-85K
Honda Civic Type R FK8,Honda,2017-2021,Front-Engine,mid,2.0L Turbo I4,306,295,6MT,FWD,5.0,$44000,$38-52K
Honda Civic Type R FL5,Honda,2023-2024,Front-Engine,mid,2.0L Turbo I4,315,310,6MT,FWD,4.9,$52000,$45-58K
Honda S2000,Honda,1999-2009,Front-Engine,mid,2.0L/2.2L NA I4 VTEC,240,162,6MT,RWD,5.4,$48000,$38-65K
Jaguar F-Type R,Jaguar,2015-2020,Front-Engine,mid,5.0L SC V8,550,502,8AT,RWD,3.9,$46500,$38-55K
Jaguar F-Type V6 S,Jaguar,2014-2020,Front-Engine,budget,3.0L SC V6,380,339,8AT,RWD,4.6,$33500,$27-40K
Lamborghini Gallardo,Lamborghini,2004-2014,Mid-Engine,premium,5.0-5.2L V10,520,398,6MT/E-Gear,AWD,3.5,$92500,$85-100K
Lexus LC 500,Lexus,2018-2024,Front-Engine,mid,5.0L V8,471,398,10AT,RWD,4.4,$61000,$52-70K
Lexus RC F,Lexus,2015-2022,Front-Engine,budget,5.0L V8,467,389,8AT,RWD,4.3,$36500,$28-45K
Lotus Elise S2,Lotus,2005-2011,Mid-Engine,mid,1.8L NA I4 Toyota,189,133,6MT,RWD,4.9,$48000,$38-58K
Lotus Emira,Lotus,2022-2024,Mid-Engine,premium,3.5L SC V6,400,310,6MT/Auto,RWD,4.2,$92500,$85-100K
Lotus Evora GT,Lotus,2020-2021,Mid-Engine,upper-mid,3.5L SC V6,416,317,6MT/Auto,RWD,3.8,$80000,$70-90K
Lotus Evora S,Lotus,2010-2015,Mid-Engine,mid,3.5L SC V6,345,295,6MT/Auto,RWD,4.3,$50000,$42-58K
Lotus Exige S,Lotus,2006-2016,Mid-Engine,upper-mid,1.8L SC I4 / 3.5L SC V6,257,236,6MT,RWD,4.0,$70000,$55-90K
Maserati GranTurismo,Maserati,2008-2019,Front-Engine,budget,4.7L V8,454,361,6AT,RWD,4.7,$40000,$30-50K
Mazda MX-5 Miata NA,Mazda,1990-1997,Front-Engine,budget,1.6L/1.8L NA I4,128,110,5MT/4AT,RWD,8.5,$15000,$8-25K
Mazda MX-5 Miata NB,Mazda,1999-2005,Front-Engine,budget,1.8L NA I4,142,125,5MT/6MT/4AT,RWD,7.9,$12000,$8-20K
Mazda MX-5 Miata NC,Mazda,2006-2015,Front-Engine,budget,2.0L NA I4,167,140,5MT/6MT/6AT,RWD,6.5,$15000,$10-22K
Mazda MX-5 Miata ND,Mazda,2016-2024,Front-Engine,budget,2.0L NA I4,181,151,6MT/6AT,RWD,5.7,$32000,$25-40K
Mazda RX-7 FD3S,Mazda,1992-2002,Front-Engine,upper-mid,1.3L Twin-Turbo Rotary,276,231,5MT/4AT,RWD,4.8,$60000,$45-85K
Mercedes C63 AMG W204,Mercedes-AMG,2008-2014,Front-Engine,budget,6.2L NA V8,451,443,7AT,RWD,4.3,$33500,$25-42K
Mercedes-AMG C63 W205,Mercedes-AMG,2015-2021,Front-Engine,mid,4.0L TT V8 M177,503,516,9AT,RWD,3.9,$52000,$40-65K
Mercedes-AMG E63 S W213,Mercedes-AMG,2018-2024,Front-Engine,upper-mid,4.0L TT V8 M177,603,627,9AT,AWD,3.3,$82000,$70-100K
Mercedes-AMG E63 W212,Mercedes-AMG,2012-2016,Front-Engine,mid,5.5L TT V8 M157,577,590,7AT,RWD,3.6,$42000,$35-55K
Mercedes-AMG GT,Mercedes-AMG,2015-2020,Front-Engine,upper-mid,4.0L TT V8 M178,469,465,7DCT,RWD,3.9,$80000,$65-100K
Mitsubishi Lancer Evolution VIII/IX,Mitsubishi,2003-2007,Front-Engine,mid,2.0L Turbo I4,286,289,5MT/6MT,AWD,4.7,$48000,$38-60K
Mitsubishi Lancer Evolution X,Mitsubishi,2008-2015,Front-Engine,budget,2.0L Turbo I4,291,300,5MT/6DCT,AWD,4.5,$35000,$28-45K
Nissan 300ZX Twin Turbo Z32,Nissan,1990-1996,Front-Engine,mid,3.0L TT V6 VG30DETT,300,283,5MT/4AT,RWD,5.0,$40000,$30-55K
Nissan 350Z,Nissan,2003-2008,Front-Engine,budget,3.5L V6 VQ35,306,268,6MT/5AT,RWD,5.2,$18000,$12-25K
Nissan 370Z NISMO,Nissan,2009-2020,Front-Engine,budget,3.7L V6,350,276,6MT/7AT,RWD,4.8,$30000,$25-35K
Nissan GT-R,Nissan,2017-2024,Front-Engine,upper-mid,3.8L TT V6,565,467,6DCT,AWD,2.9,$65000,$55-75K
Nissan Z,Nissan,2023-2024,Front-Engine,mid,3.0L TT V6 VR30DDTT,400,350,6MT/9AT,RWD,4.5,$50000,$42-60K
718 Cayman GT4,Porsche,2020-2024,Mid-Engine,premium,4.0L NA Flat-6,414,309,6MT/7PDK,RWD,4.2,$92500,$85-100K
718 Cayman GTS 4.0,Porsche,2020-2024,Mid-Engine,premium,4.0L NA Flat-6,394,309,6MT/7PDK,RWD,4.3,$95000,$90-100K
981 Cayman GTS,Porsche,2015-2016,Mid-Engine,upper-mid,3.4L NA Flat-6,340,280,6MT/7PDK,RWD,4.5,$62500,$55-70K
981 Cayman S,Porsche,2013-2016,Mid-Engine,mid,3.4L NA Flat-6,325,273,6MT/7PDK,RWD,4.6,$47500,$40-55K
987.2 Cayman S,Porsche,2009-2012,Mid-Engine,budget,3.4L NA Flat-6,320,273,6MT/7PDK,RWD,4.9,$38500,$32-45K
991.1 Carrera S,Porsche,2012-2016,Rear-Engine,upper-mid,3.8L NA Flat-6,400,325,7MT/7PDK,RWD,4.1,$67500,$55-80K
997.2 Carrera S,Porsche,2009-2012,Rear-Engine,upper-mid,3.8L NA Flat-6,385,310,6MT/7PDK,RWD,4.3,$60000,$50-70K
Porsche 911 GT3 996,Porsche,2004-2005,Rear-Engine,upper-mid,3.6L NA Flat-6,381,284,6MT,RWD,4.3,$85000,$70-100K
Porsche 911 GT3 997,Porsche,2007-2011,Rear-Engine,premium,3.6L/3.8L NA Flat-6,435,317,6MT/7PDK,RWD,4.0,$105000,$85-130K
Porsche 911 Turbo 997.1,Porsche,2007-2009,Rear-Engine,upper-mid,3.6L TT Flat-6,480,457,6MT/5AT,AWD,3.7,$68000,$55-80K
Porsche 911 Turbo 997.2,Porsche,2010-2013,Rear-Engine,premium,3.8L TT Flat-6,500,480,7PDK,AWD,3.2,$88000,$75-100K
Subaru BRZ,Subaru,2013-2020,Front-Engine,budget,2.0L NA H4,205,156,6MT/6AT,RWD,6.2,$20000,$15-26K
Subaru BRZ (2nd Gen),Subaru,2022-2024,Front-Engine,budget,2.4L NA H4,228,184,6MT/6AT,RWD,5.4,$32000,$28-38K
Subaru Impreza WRX STI GD,Subaru,2004-2007,Front-Engine,budget,2.5L Turbo H4,300,300,6MT,AWD,4.8,$35000,$28-45K
Subaru WRX STI GR/GV,Subaru,2008-2014,Front-Engine,budget,2.5L Turbo H4,305,290,6MT,AWD,4.7,$32000,$25-40K
Subaru WRX STI VA,Subaru,2015-2021,Front-Engine,mid,2.5L Turbo H4,310,290,6MT,AWD,4.6,$42000,$35-52K
Tesla Model 3 Performance,Tesla,2018-2024,Front-Engine,mid,Dual Motor Electric,450,471,Direct,AWD,3.1,$45000,$38-55K
Toyota 86 / Scion FR-S,Toyota,2013-2020,Front-Engine,budget,2.0L NA H4,205,156,6MT/6AT,RWD,6.2,$22000,$15-28K
Toyota GR Supra,Toyota,2020-2024,Front-Engine,budget,3.0L TT I6,382,365,6MT/8AT,RWD,3.9,$46500,$38-55K
Toyota GR86,Toyota,2022-2024,Front-Engine,budget,2.4L NA H4,228,184,6MT/6AT,RWD,5.4,$33000,$28-38K
Toyota Supra Mk4 A80 Turbo,Toyota,1993-2002,Front-Engine,premium,3.0L TT I6 2JZ-GTE,320,315,6MT/4AT,RWD,4.6,$85000,$70-100K+
Volkswagen Golf R Mk7,Volkswagen,2015-2019,Front-Engine,budget,2.0L Turbo I4,292,280,6MT/6DSG,AWD,4.5,$34000,$28-40K
Volkswagen Golf R Mk8,Volkswagen,2022-2024,Front-Engine,mid,2.0L Turbo I4,315,295,7DSG,AWD,4.4,$48000,$42-55K
Volkswagen GTI Mk7,Volkswagen,2015-2021,Front-Engine,budget,2.0L Turbo I4,228,258,6MT/6DSG,FWD,5.7,$25000,$18-32K






